Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
Crown Castle,https://en.wikipedia.org/wiki/Crown_Castle,Telecom Tower REITs,"Houston, Texas",2012-03-14,Telecommunications,0.005,0.942,45001,,,,1994
CSX Corporation,https://en.wikipedia.org/wiki/CSX_Corporation,Rail Transportation,"Jacksonville, Florida",1957-03-04,"Transport, real estate, technology",14.66,3.715,23000,,Joseph R. Hinrichs,,1980
Cummins,https://en.wikipedia.org/wiki/Cummins,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,"Heavy equipment,automotive",34.07,0.735,75500,,,"Clessie Lyle Cummins, William Glanton Irwin",1919
CVS Health,https://en.wikipedia.org/wiki/CVS_Health,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,"Managed healthcare, Health insurance, Pharmacy",357.8,8.344,300000,,David Joyner,"Stanley P. Goldstein, Sidney Goldstein, Ralph P. Hoagland III",1963
Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,Conglomerate,23.9,4.76,63000,,Steven Rales,"Steven Rales, Mitchell Rales",1969
Darden Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants,Restaurants,"Orlando, Florida",1995-05-31,Restaurant,11.4,1.03,191105,,Rick Cardenas,William Darden,
DaVita,https://en.wikipedia.org/wiki/DaVita,Health Care Services,"Denver, Colorado",2008-07-31,Healthcare,12.14,0.956,70000,,Javier J. Rodriguez,,1979
Dayforce,https://en.wikipedia.org/wiki/Dayforce,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,SaaS HCM Software,1.51,0.054799999999999995,9084,,David Ossip,,1992
Deckers Brands,https://en.wikipedia.org/wiki/Deckers_Brands,Footwear,"Goleta, California",2024-03-18,,4.29,0.76,4800,,Michael Devine III,"Karl F. Lopker, Doug Otto",1973
Deere & Company,https://en.wikipedia.org/wiki/Deere_%26_Company,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,"Agricultural machinery, Heavy equipment",61.25,10.17,83000,,John C. May,John Deere,1837
Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,Computer hardwareSoftwareCloud computingData storageInformation securityConsulting,88.4,3.21,120000,,Michael Dell,Michael Dell,2016
Delta Air Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines,Passenger Airlines,"Atlanta, Georgia",2013-09-11,,58.1,4.6,,,Ed Bastian,C.E. Woolman,1925
Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,Petroleum industry,15.258,3.747,1900,,Rick Muncrief,"John Nichols, J. Larry Nichols",1971
Dexcom,https://en.wikipedia.org/wiki/Dexcom,Health Care Equipment,"San Diego, California",2020-05-12,,3.62,0.542,9600,,Kevin Sayer,,1999
Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,Petroleum industry,6.797,2.182,870,,Steven E. West,,
Digital Realty,https://en.wikipedia.org/wiki/Digital_Realty,Data Center REITs,"Austin, Texas",2016-05-18,Real estate investment trust,4.69,2.47,3450,,Mary Hogan Preusse,,2004
Discover Financial,https://en.wikipedia.org/wiki/Discover_Financial,Consumer Finance,"Riverwoods, Illinois",2007-07-02,Financial services,20.61,2.94,21100,,Michael Rhodes,Sears,1985
Dollar General,https://en.wikipedia.org/wiki/Dollar_General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,Discount retailer,37.885,2.416,170000,,Michael M. Calbert,James Luther TurnerCal Turner,1939
Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,"Retail,variety,discount",25.509,1.341,65894,,Rick Dreiling,,1953
Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy,Multi-Utilities,"Richmond, Virginia",2016-11-30,Electric utility,16.572,1.376,21000,,Robert Blue,,1983
Domino's,https://en.wikipedia.org/wiki/Domino%27s,Restaurants,"Ann Arbor, Michigan",2020-05-12,"Foodservice, Franchising",4.479,0.5191,9250,,David A. Brandon,"Jim Monaghan, Tom Monaghan, Dominick DeVarti",1960
Dover Corporation,https://en.wikipedia.org/wiki/Dover_Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,Conglomerate,8.44,1.06,25000,,Richard J. Tobin,,1955
Dow Inc.,https://en.wikipedia.org/wiki/Dow_Inc.,Commodity Chemicals,"Midland, Michigan",2019-04-01,Chemicals,44.62,0.589,35900,,Jim Fitterling,Herbert Henry Dow,1897
D. R. Horton,https://en.wikipedia.org/wiki/D._R._Horton,Homebuilding,"Arlington, Texas",2005-06-22,Home construction,35.5,4.75,13450,,Paul J. Romanowski,Donald Ray Horton,1978
DTE Energy,https://en.wikipedia.org/wiki/DTE_Energy,Multi-Utilities,"Detroit, Michigan",1957-03-04,Electric & Gas Utilities,19.288,1.083,10250,,Gerardo Norcia,,
Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy,Electric Utilities,"Charlotte, North Carolina",1976-06-30,Energy,29.06,2.735,27037,,,"James Buchanan Duke, Benjamin Newton Duke",1904
DuPont,https://en.wikipedia.org/wiki/DuPont,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,Chemicals,12.1,0.462,24000,,,,1802
Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,Manufacturing,9.21,0.894,14000,,Mark J. Costa,George Eastman,1920
Eaton Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,Conglomerate,20.75,2.46,85000,,Craig Arnold,"Joseph Oriel Eaton II, Viggo Torbensen",1911
eBay,https://en.wikipedia.org/wiki/EBay,Broadline Retail,"San Jose, California",2002-07-22,E-commerce,10.11,2.767,12300,,Jamie Iannone,Pierre Omidyar,1995
Ecolab,https://en.wikipedia.org/wiki/Ecolab,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,"Chemicals,Service,Water Management,Food Safety,Infection Prevention",15.3,1.37,48000,,Christophe Beck,Merritt J. Osborn,1923
Edison International,https://en.wikipedia.org/wiki/Edison_International,Electric Utilities,"Rosemead, California",1957-03-04,Public Utility,14.905,0.925,14375,,Pedro J. Pizarro,,1886
Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences,Health Care Equipment,"Irvine, California",2011-04-01,Medical technology,5.2,,14000,,Bernard J. Zovighian,,1958
Electronic Arts,https://en.wikipedia.org/wiki/Electronic_Arts,Interactive Home Entertainment,"Redwood City, California",2002-07-22,Video games,7.56,1.27,13700,,Andrew Wilson,Trip Hawkins,1982
Elevance Health,https://en.wikipedia.org/wiki/Elevance_Health,Managed Health Care,"Indianapolis, Indiana",2002-07-25,"Managed healthcare, Insurance",171.34,5.98,102300,,Elizabeth E. Tallett,,2004
Emerson Electric,https://en.wikipedia.org/wiki/Emerson_Electric,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,Electrical equipment,15.17,13.22,67000,,Lal Karsanbhai,John W. Emerson,1890
Enphase Energy,https://en.wikipedia.org/wiki/Enphase_Energy,Semiconductor Materials & Equipment,"Fremont, California",2021-01-07,Renewable energy,2.29,0.439,3157,,Badri Kothandaraman,"Raghu Belur, Martin Fornage",2006
Entergy,https://en.wikipedia.org/wiki/Entergy,Electric Utilities,"New Orleans, Louisiana",1957-03-04,Energy industry,10.113,1.406,135043,,Andrew “Drew” Marsh,,1913
EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,Petroleum industry,"25,702,000,000 United States dollar (2022)","7,759,000,000 United States dollar (2022)",2900,,Ezra Y. Yacob,Mark G. Papa,1999
EPAM Systems,https://en.wikipedia.org/wiki/EPAM_Systems,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,Software engineering,4.69,0.417,65150,,Arkadiy Dobkin,,1993
EQT Corporation,https://en.wikipedia.org/wiki/EQT_Corporation,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,Petroleum industry,6.909,1.735,881,,Toby Rice,Michael and Obediah Haymaker,1888
Equifax,https://en.wikipedia.org/wiki/Equifax,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,Credit riskassessment,5.27,0.545,14900,,,"Cator Woolford, Guy Woolford",1899
Equinix,https://en.wikipedia.org/wiki/Equinix,Data Center REITs,"Redwood City, California",2015-03-20,Internet,8.19,0.969,13151,,Adaire Fox-Martin,"Jay Adelson, Al Avery",1998
Equity Residential,https://en.wikipedia.org/wiki/Equity_Residential,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,Apartments,2.735,0.773,2400,,Mark J. Parrell,Sam Zell,1969
Erie Indemnity,https://en.wikipedia.org/wiki/Erie_Insurance_Group,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,Insurance,,,6481,,Timothy G. NeCastro,"Ollie G. Crawfordin, Henry Orth Hirt",1925
Essex Property Trust,https://en.wikipedia.org/wiki/Essex_Property_Trust,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,Real estate investment trust,1.669,0.405,1750,,,George M. Marcus,1971
Estée Lauder Companies (The),https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies,Personal Care Products,"New York City, New York",2006-01-05,Cosmetics,15.6,0.409,62000,,,"Estée Lauder, Joseph Lauder",1946
Everest Group,https://en.wikipedia.org/wiki/Everest_Group,Reinsurance,"Hamilton, Bermuda",2017-06-19,Insurance,12.06,0.597,2428,,Juan C. Andrade,,1973
Evergy,https://en.wikipedia.org/wiki/Evergy,Electric Utilities,"Kansas City, Missouri",2018-06-05,Electric utility,5.148,,4658,,David Campbell,,1882
Eversource Energy,https://en.wikipedia.org/wiki/Eversource_Energy,Electric Utilities,"Hartford, Connecticut",2009-07-24,Utility,9.86,1.23,92996,,Joseph R. Nolan,,1966
Exelon,https://en.wikipedia.org/wiki/Exelon,Electric Utilities,"Chicago, Illinois",1957-03-04,Public utility,21.73,2.328,19962,,Calvin Butler,,2000
Expedia Group,https://en.wikipedia.org/wiki/Expedia_Group,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007-10-02,Travel technology,12.8,0.688,17100,,,Rich Barton,1996
Expeditors International,https://en.wikipedia.org/wiki/Expeditors_International,Air Freight & Logistics,"Seattle, Washington",2007-10-10,Logistics,8.1,0.818,195882,,,,1979
Extra Space Storage,https://en.wikipedia.org/wiki/Extra_Space_Storage,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,Real Estate Investment Trust,1.577,0.877,4048,,Kenneth Woolley,Kenneth Woolley,1977
ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil,Integrated Oil & Gas,"Irving, Texas",1957-03-04,Energy,344.6,36.01,61500,,Darren Woods,Lucio NotoLee Raymond,1882
"F5, Inc.","https://en.wikipedia.org/wiki/F5,_Inc.",Communications Equipment,"Seattle, Washington",2010-12-20,Technology,2.81,0.395,6524,,François Locoh-Donou,,1996
FactSet,https://en.wikipedia.org/wiki/FactSet,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,"Financial services, Technology",2.09,0.468,12237,,F. Philip Snow,"Howard Wille, Charles Snyder",1978
Fair Isaac,https://en.wikipedia.org/wiki/FICO,Application Software,"Bozeman, Montana",2023-03-20,Computer,1.295,0.23641,3305,,,,1956
Fastenal,https://en.wikipedia.org/wiki/Fastenal,Trading Companies & Distributors,"Winona, Minnesota",2008-09-15,,7.25,1.16,23201,,Daniel L. Florness,Bob Kierlin,1967
Federal Realty Investment Trust,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust,Retail REITs,"Rockville, Maryland",2016-02-01,Real estate investment trust,0.951,0.269,315,,David Faeder,Samuel J. Gorlitz,1962
FedEx,https://en.wikipedia.org/wiki/FedEx,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,"E-commerce, Services, Transportation",87.69,4.331,505000,,Raj Subramaniam,Frederick W. Smith,1971
Fidelity National Information Services,https://en.wikipedia.org/wiki/FIS_(company),Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,Financial Sector,13.88,0.417,65000,,Stephanie Ferris,,1968
Fifth Third Bancorp,https://en.wikipedia.org/wiki/Fifth_Third_Bancorp,Regional Banks,"Cincinnati, Ohio",1996-03-29,"Banking, Investment banking, Financial services","5,609,000,000 United States dollar (2022)",2.212,18724,,Timothy N. Spence,,1858
First Solar,https://en.wikipedia.org/wiki/First_Solar,Semiconductors,"Tempe, Arizona",2022-12-19,Photovoltaics,3.58,0.5464199999999999,64002,,Michael J. Ahearn,,1999
FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy,Electric Utilities,"Akron, Ohio",1997-11-28,Electric Utility,12.9,1.123,12153,,,,1997
Fiserv,https://en.wikipedia.org/wiki/Fiserv,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001-04-02,,17.7,2.58,42000,,,,1984
FMC Corporation,https://en.wikipedia.org/wiki/FMC_Corporation,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,Chemicals,5.05,0.734,6400,,Mark Douglas,John Bean,1883
Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,Automotive,176.2,4.33,177000,,Jim Farley,Henry Ford,1903
Fortinet,https://en.wikipedia.org/wiki/Fortinet,Systems Software,"Sunnyvale, California",2018-10-11,"Cloud Security, Cybersecurity, Network Security",5.3,1.15,13568,,Ken Xie,"Ken Xie, Michael Xie",2000
Fortive,https://en.wikipedia.org/wiki/Fortive,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,Conglomerate,6.07,0.866,18000,,Jim Lico,,2016
Fox Corporation (Class A),https://en.wikipedia.org/wiki/Fox_Corporation,Broadcasting,"New York City, New York",2019-03-04,Media,13.98,1.501,10200,,Lachlan Murdoch,Rupert Murdoch,2019
Fox Corporation (Class B),https://en.wikipedia.org/wiki/Fox_Corporation,Broadcasting,"New York City, New York",2019-03-04,Media,13.98,1.501,10200,,Lachlan Murdoch,Rupert Murdoch,2019
Franklin Resources,https://en.wikipedia.org/wiki/Franklin_Resources,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,Financial servicesInvestment management,7.85,0.883,9200,,Jennifer M. Johnson,Rupert H. Johnson Sr.,1947
Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan,Copper,"Phoenix, Arizona",2011-07-01,MetalsandMining,22.9,1.85,27200,,,"Eric Pierson Swenson, et al",1912
Garmin,https://en.wikipedia.org/wiki/Garmin,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,TechnologyConsumer electronicsSoftware servicesOnline services,5.23,1.29,20000,,Cliff Pemble,"Gary Burrell, Min Kao",1989
Gartner,https://en.wikipedia.org/wiki/Gartner,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,Business services,5.91,0.882,20237,,Gene Hall,,1979
GE Aerospace,https://en.wikipedia.org/wiki/GE_Aerospace,Aerospace & Defense,"Evendale, Ohio",1957-03-04,Aerospace,31.8,,52000,,H. Lawrence Culp Jr.,,1917
GE HealthCare,https://en.wikipedia.org/wiki/GE_HealthCare,Health Care Equipment,"Chicago, Illinois",2023-01-04,Healthcare,19.6,1.6,51000,,Peter Arduini,,1994
GE Vernova,https://en.wikipedia.org/wiki/GE_Vernova,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024-04-02,Energy,33.2,0.4,80000,,Scott Strazik,,2024
Gen Digital,https://en.wikipedia.org/wiki/Gen_Digital,Systems Software,"Tempe, Arizona",2003-03-25,Computer software,3.81,0.616,3400,,Vincent Pilette,Gary Hendrix,1982
Generac,https://en.wikipedia.org/wiki/Generac,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,Manufacturing,4.02,0.217,8600,,Aaron Jagdfeld,Robert Kern,1959
General Dynamics,https://en.wikipedia.org/wiki/General_Dynamics,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,"Aerospace, Defense, Shipbuilding",42.3,3.32,111600,,Phebe Novakovic,John Philip Holland,1893
General Mills,https://en.wikipedia.org/wiki/General_Mills,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,Food processing,19.86,2.497,34000,,Jeffrey Harmening,"Robert Smith, Cadwallader C. Washburn, John Crosby, James Ford Bell",1856
General Motors,https://en.wikipedia.org/wiki/General_Motors,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,Automotive,171.8,9.84,163000,,,William C. Durant,1908
Genuine Parts Company,https://en.wikipedia.org/wiki/Genuine_Parts_Company,Distributors,"Atlanta, Georgia",1973-12-31,,,,48001,,Thomas C. Gallagher,Carlyle andMalcolm Fraser,1925
Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences,Biotechnology,"Foster City, California",2004-07-01,"Pharmaceutics, Biotechnology",27.12,5.613,18000,,Daniel O'Day,Michael L. Riordan,1987
Global Payments,https://en.wikipedia.org/wiki/Global_Payments,Transaction & Payment Processing Services,"Atlanta, Georgia",2016-04-25,Payment processing,7.4,0.605,240006,,Cameron M. Bready,,2000
Globe Life,https://en.wikipedia.org/wiki/Globe_Life,Life & Health Insurance,"McKinney, Texas",1989-04-30,Life insurance,5.2,0.7397039999999999,3636,,Matthew Darden,,1900
GoDaddy,https://en.wikipedia.org/wiki/GoDaddy,Internet Services & Infrastructure,"Tempe, Arizona",2024-06-24,"Internet, IT consulting, SMEs",4.25,1.37,,,,Bob Parsons,1997
Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs,Investment Banking & Brokerage,"New York City, New York",2002-07-22,Financial services,46.25,8.52,45300,,David M. Solomon,"Marcus Goldman, Samuel Sachs",1869
Halliburton,https://en.wikipedia.org/wiki/Halliburton,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,Fossil fuel,23.02,2.662,48000,,Jeff Miller,Erle P. Halliburton,1919
Hartford (The),https://en.wikipedia.org/wiki/The_Hartford,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,"Insurance, Mutual funds",24.5,2.5,18700,,,,1810
Hasbro,https://en.wikipedia.org/wiki/Hasbro,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,Toysandentertainment,5.86,0.2035,56003,,Chris Cocks,"Henry Hassenfeld, Hillel Hassenfeld, Herman Hassenfeld",1923
HCA Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare,Health Care Facilities,"Nashville, Tennessee",2015-01-27,Health care,60.23,3.759,309000,,Sam Hazen,"Thomas F. Frist Sr.,Thomas F. Frist Jr.,Jack C. Massey",1968
Healthpeak Properties,https://en.wikipedia.org/wiki/Healthpeak_Properties,Health Care REITs,"Denver, Colorado",2008-03-31,Real estate investment trust,1.896,0.502,193,,Scott M. Brinker,,1985
Henry Schein,https://en.wikipedia.org/wiki/Henry_Schein,Health Care Distributors,"Melville, New York",2015-03-17,Health care supplies and services,12.3,0.416,25000,,Stanley M. Bergman,Henry Schein,1932
Hershey Company (The),https://en.wikipedia.org/wiki/The_Hershey_Company,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,Food processing,8.97,1.48,16620,,Michele Buck,Milton S. Hershey,1894
Hess Corporation,https://en.wikipedia.org/wiki/Hess_Corporation,Integrated Oil & Gas,"New York City, New York",1984-05-31,Oil and gas,11.3,2.09,16231,,John B. Hess,Leon Hess,1919
Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,Information technology,29.1,2.03,62000,,,,1939
Hilton Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,Hospitality,11.2,1.15,178000,,Christopher J. Nassetta ​,Conrad Hilton,1919
Hologic,https://en.wikipedia.org/wiki/Hologic,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,Medical Technology,4.86,1.3,6944,,Stephen P. MacMillan,,1985
Home Depot (The),https://en.wikipedia.org/wiki/Home_Depot,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,Retail(home improvement),152.7,15.14,463100,,Ted Decker,"Bernard Marcus, Arthur Blank, Ron Brill, Pat Farrah, Ken Langone",1978
Honeywell,https://en.wikipedia.org/wiki/Honeywell,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,Conglomerate,36.66,5.672,95000,,Vimal Kapur,Mark C. Honeywell(for the Honeywell Inc. line),1906
Hormel Foods,https://en.wikipedia.org/wiki/Hormel_Foods,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,Food processing,9.497,"999,987,000 United States dollar (2022)",20000,,James Snee,George A. Hormel,1891
Host Hotels & Resorts,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,Real estate investment trust,5.311,0.752,163,,Richard E. Marriott,,1993
Howmet Aerospace,https://en.wikipedia.org/wiki/Howmet_Aerospace,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016-10-21,Aerospace,6.64,0.765,23200,,"John C. Plant ,",,1888
HP Inc.,https://en.wikipedia.org/wiki/HP_Inc.,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,Information technology,53.72,3.263,58000,,Enrique Lores,Bill HewlettDavid Packard(in 1939),1939
Hubbell Incorporated,https://en.wikipedia.org/wiki/Hubbell_Incorporated,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023-10-18,"Electronics, Public utility",5.37,0.76,18317,,,Harvey Hubbell,1888
Humana,https://en.wikipedia.org/wiki/Humana,Managed Health Care,"Louisville, Kentucky",2012-12-10,Managed health care,106.4,2.48,67600,,Bruce D. Broussard,Wendell Cherry,1961
Huntington Bancshares,https://en.wikipedia.org/wiki/Huntington_Bancshares,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,Banking,,1.817,19955,,Stephen D. Steinour,P.W. Huntington,1866
Huntington Ingalls Industries,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,Aerospace & Defense,"Newport News, Virginia",2018-01-03,"Defense, Shipbuilding, Defense technologies",10.8,0.568,43000,,Kirkland H. Donald,Named afterCollis Potter HuntingtonandRobert Ingersoll Ingalls Sr.,2011
IBM,https://en.wikipedia.org/wiki/IBM,IT Consulting & Other Services,"Armonk, New York",1957-03-04,Information technology,61.86,7.502,282200,,Arvind Krishna,George Winthrop FairchildCharles Ranlett FlintHerman Hollerith,1911
IDEX Corporation,https://en.wikipedia.org/wiki/IDEX_Corporation,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,Manufacturing,3.18,0.587,8868,,,,1988
Idexx Laboratories,https://en.wikipedia.org/wiki/Idexx_Laboratories,Health Care Equipment,"Westbrook, Maine",2017-01-05,Healthcare,3.66,0.845,11000,,Jay Mazelsky,David Evans Shaw,1983
Illinois Tool Works,https://en.wikipedia.org/wiki/Illinois_Tool_Works,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,Manufacturing,US$14.1B(2019)[1],,45000,,Christopher A. O'Herlihy,Byron L. Smith,1912
Incyte,https://en.wikipedia.org/wiki/Incyte,Biotechnology,"Wilmington, Delaware",2017-02-28,pharmaceuticals,3.69,0.598,2524,,Hervé Hoppenot,,2002
Ingersoll Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,Diversified Machinery,6.88,0.785,18000,,Vicente Reynal,"Simon Ingersoll, Addison Rand, Jasper Rand, Jr., Robert Gardner",1859
Insulet Corporation,https://en.wikipedia.org/w/index.php?title=Insulet_Corporation&action=edit&redlink=1,Health Care Equipment,"Acton, Massachusetts",2023-03-15,,,,,,,,
Intel,https://en.wikipedia.org/wiki/Intel,Semiconductors,"Santa Clara, California",1976-12-31,"Semiconductors, Computer hardware, Autonomous cars, Automation, Artificial intelligence",54.23,1.66,124800,,Frank D. Yeary,"Gordon Moore, Robert Noyce, Arthur Rock",1968
Intercontinental Exchange,https://en.wikipedia.org/wiki/Intercontinental_Exchange,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,"Business services, Financial services, Financial markets, Technology",9.903,2.438,13222,,Jeffrey Sprecher,Jeffrey Sprecher,2000
International Flavors & Fragrances,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances,Specialty Chemicals,"New York City, New York",1976-03-31,"Specialty chemicals, Research and development",11.48,2.57,21500,,Erik Fyrwald,,1889
International Paper,https://en.wikipedia.org/wiki/International_Paper,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,Pulp and paper,18.9,0.288,39000,,Andrew Silvernail,"Hugh J. Chisholm, William A. Russell",1898
Interpublic Group of Companies (The),https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies,Advertising,"New York City, New York",1992-10-01,Advertising agency,10.9,1.12,574002,,Philippe Krakowsky,,1930
Intuit,https://en.wikipedia.org/wiki/Intuit,Application Software,"Mountain View, California",2000-12-05,Enterprise software,16.29,2.963,18800,,Sasan Goodarzi,"Scott Cook, Tom Proulx",1983
Intuitive Surgical,https://en.wikipedia.org/wiki/Intuitive_Surgical,Health Care Equipment,"Sunnyvale, California",2008-06-02,Medical Appliances & Equipment,7.12,1.82,13676,,Gary S. Guthart,,1995
Invesco,https://en.wikipedia.org/wiki/Invesco,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,Financial services,5.72,0.334,8489,,Andrew Schlossberg,Charles W. Brady,1978
Invitation Homes,https://en.wikipedia.org/wiki/Invitation_Homes,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,Real estate investment trust,1.997,0.26139999999999997,1240,,Dallas B. Tanner,"Dallas B. Tanner, Brad Greiwe",2012
IQVIA,https://en.wikipedia.org/wiki/IQVIA,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,"Contract Research OrganizationPharmaceuticalService,AI,IT,Consulting",15.4,1.096,860004,,Ari Bousbib,Dennis Gillings,1982
Iron Mountain,https://en.wikipedia.org/wiki/Iron_Mountain_(company),Other Specialized REITs,"Boston, Massachusetts",2009-01-06,Information storageEnterprise information management,4.492,0.343096,240003,,,,1951
J.B. Hunt,https://en.wikipedia.org/wiki/J.B._Hunt,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,,12.83,0.728,34718,,"John N. Roberts, III",Johnelle HuntJohnnie Bryan Hunt,1961
Jabil,https://en.wikipedia.org/wiki/Jabil,Electronic Manufacturing Services,"St. Petersburg, Florida",2023-12-18,Electronics Manufacturing Services,34.7,0.818,236000,,Mark Mondello,"William E. Morean, James Golden",1966
Jack Henry & Associates,https://en.wikipedia.org/wiki/Jack_Henry_%26_Associates,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,,1.94,0.362,6847,,,,1976
Jacobs Solutions,https://en.wikipedia.org/wiki/Jacobs_Solutions,Construction & Engineering,"Dallas, Texas",2007-10-26,"Engineering, Architecture, Construction",16.3,0.666,60000,,Bob Pragada,Joseph J. Jacobs,1947
Johnson & Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,"Pharmaceutical, Medical Technology",85.16,35.15,134400,,Joaquin Duato,"Robert Wood Johnson I, James Wood Johnson, Edward Mead Johnson",1886
