Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
PPG Industries,https://en.wikipedia.org/wiki/PPG_Industries,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,Chemicals,17.652,1.026,52000,,Tim Knavish,"John Baptiste Ford, John Pitcairn Jr.",1883
PPL Corporation,https://en.wikipedia.org/wiki/PPL_Corporation,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,Electric utilities,7.9,0.756,6500,,,,1920
Principal Financial Group,https://en.wikipedia.org/wiki/Principal_Financial_Group,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,"Insurance, Financial Services",14.263,1.711,18600,,Daniel Houston,Edward Temple,1879
Procter & Gamble,https://en.wikipedia.org/wiki/Procter_%26_Gamble,Personal Care Products,"Cincinnati, Ohio",1957-03-04,"Consumer goods, Household products",84.04,14.88,108000,,,"William Procter, James Gamble",1837
Progressive Corporation,https://en.wikipedia.org/wiki/Progressive_Corporation,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,Insurance,49.61,0.7215,55100,,Lawton W. Fitt,,1937
Prologis,https://en.wikipedia.org/wiki/Prologis,Industrial REITs,"San Francisco, California",2003-07-17,Real estate,8.02,3.05,2574,,Hamid Moghadam,"Hamid Moghadam, Doug Abbey, T. Robert Burke",1983
Prudential Financial,https://en.wikipedia.org/wiki/Prudential_Financial,Life & Health Insurance,"Newark, New Jersey",2002-07-22,Financial services,53.98,2.508,40658,,Charles Lowrey,John F. Dryden,1875
Public Service Enterprise Group,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group,Electric Utilities,"Newark, New Jersey",1957-03-04,Utilities,10.076,1.693,129452,,Ralph LaRossa,,1903
PTC Inc.,https://en.wikipedia.org/wiki/PTC_(software_company),Application Software,"Boston, Massachusetts",2021-04-20,CAD/CAM/CAE/PLMSoftware/ ALM/ SLM/IOT,2.1,0.246,7231,,Neil Barua,,1985
Public Storage,https://en.wikipedia.org/wiki/Public_Storage,Self-Storage REITs,"Glendale, California",2005-08-19,"Real estate investment trust, self storage",4.52,2.16,6200,,"Joseph D. Russell, Jr.","B. Wayne Hughes, Kenneth Volk Jr.",1972
